"week_hour","eigenfunction_1"
0,0.0117790562109626
1,0.00900900541495575
2,0.0101071193032621
3,0.0150097182604437
4,0.0233715936683325
5,0.0345929021782755
6,0.0478647856831617
7,0.0622300386869023
8,0.0766540778492439
9,0.0901007963643067
10,0.101607646417854
11,0.110354487335827
12,0.115721331625289
13,0.117331052834124
14,0.115074302694654
15,0.109115221376195
16,0.0998779101052969
17,0.0880149698101003
18,0.0743606034919379
19,0.0598717606368796
20,0.0455615157659644
21,0.0324292880119734
22,0.0213926132108844
23,0.0132249825805938
24,0.00850378759893846
25,0.00757169787399411
26,0.0105138967999365
27,0.0171525651801472
28,0.0270588968972324
29,0.0395818162315572
30,0.0538915063223534
31,0.0690349126152747
32,0.0839996090212757
33,0.0977818554892859
34,0.109454371196305
35,0.118229322222657
36,0.123512285812731
37,0.12494349735462
38,0.122423485013627
39,0.116121206311232
40,0.106463959961874
41,0.0941095804361136
42,0.0799026483661134
43,0.0648175800494499
44,0.0498924101690031
45,0.0361577797230956
46,0.0245660288517183
47,0.0159253364472467
48,0.0108435354792554
49,0.00968558243548965
50,0.0125477153194823
51,0.0192501648357251
52,0.0293489735499638
53,0.0421661250844535
54,0.0568358903575448
55,0.0723641562727343
56,0.0876965973651636
57,0.10179094696119
58,0.113688361871847
59,0.122578967639922
60,0.127857107357621
61,0.129162558794177
62,0.126404973831409
63,0.119769957159986
64,0.109706454487891
65,0.0968963777075647
66,0.0822085721479423
67,0.066640254212329
68,0.0512498541132052
69,0.0370857415892309
70,0.0251155635239468
71,0.0161608705396052
72,0.0108413619283195
73,0.0095324582807455
74,0.012339057237838
75,0.0190872908774468
76,0.0293349444068098
77,0.0423999834481078
78,0.057405443943961
79,0.0733378381603656
80,0.0891152932415945
81,0.103660929335313
82,0.115976555610591
83,0.125211652689516
84,0.13072283853954
85,0.132119579498277
86,0.129292783175399
87,0.122424046253986
88,0.111974656561991
89,0.0986548758947521
90,0.0833754561228571
91,0.0671846591039288
92,0.0511951570748807
93,0.0365059929008969
94,0.0241252077458595
95,0.01489875409485
96,0.0094508940892813
97,0.0081404614122199
98,0.0110361983055409
99,0.0179129566653337
100,0.0282689855474418
101,0.0413629423880417
102,0.0562677899415327
103,0.0719374946190496
104,0.0872815242068879
105,0.10124162490172
106,0.112865275442595
107,0.121370568370526
108,0.126198016689383
109,0.127045857380398
110,0.123886724978536
111,0.116964986657735
112,0.106775447911969
113,0.09402544367424
114,0.0795834277926191
115,0.0644179915290281
116,0.0495317345558434
117,0.0358945650429269
118,0.0243808326720834
119,0.0157142381873357
120,0.0104237723234278
121,0.00881308388511707
122,0.0109447334167489
123,0.0166398243056957
124,0.0254925777987078
125,0.0368985806725239
126,0.0500947189613892
127,0.0642082397838722
128,0.0783119663178054
129,0.0914824305289327
130,0.102857581629698
131,0.111690770677431
132,0.117397898408446
133,0.119594940140949
134,0.118123524015876
135,0.113062830513886
136,0.104726790722878
137,0.0936463689887032
138,0.0805375927476947
139,0.0662568971997372
140,0.0517462323829437
141,0.0379711735218178
142,0.0258559159803415
143,0.0162194589221755
144,0.00971743057834938
145,0.00679384249925321
146,0.00764656257445814
147,0.0122094767831201
148,0.0201532075008132
149,0.0309049411048839
150,0.0436864844825081
151,0.0575682321754368
152,0.071535405355108
153,0.084561840044983
154,0.0956858599202447
155,0.104082447942279
156,0.109126075699786
157,0.110439163734383
158,0.107922191842606
159,0.101762876528983
160,0.0924234706130654
161,0.0806069805974121
162,0.0672047923950696
163,0.053229699331171
164,0.0397395079741876
165,0.0277571555926779
166,0.0181935438565754
167,0.0117790562109627
